@relation openjpa_Train_R3-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute release {0.9.6,0.9.0}
@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false,true}

@data
0.9.6,3,1,0,0,0,1,0,0,185,2,6,0,true
0.9.6,3,1,0,0,0,1,20,0,185,4,16,0,false
0.9.0,3,1,0,0,0,1,0,1,37,2,4,0,false
0.9.6,11,6,1,0,0,1,0,0,168,3,6,0,false
0.9.0,1,1,0,0,0,0,0,0,45,3,8,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,3,0,false
0.9.0,5,2,3,0,0,1,1,0,37,2,3,0,false
0.9.0,4,1,1,0,0,1,0,1,45,2,4,0,false
0.9.6,7,2,3,0,0,0,1,2,185,4,16,0,false
0.9.6,3,1,0,0,0,1,0,0,168,3,5,0,false
0.9.0,23,13,11,0,0,0,1,8,37,1,2,2,false
0.9.6,35,18,10,0,1,0,2,7,94,2,2,0,false
0.9.0,3,2,0,0,0,1,0,1,0,1,5,1,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.6,3,1,1,0,0,0,0,0,185,1,1,0,false
0.9.6,11,3,1,0,1,1,0,2,185,4,19,0,true
0.9.0,9,4,1,0,1,0,0,3,45,3,11,0,false
0.9.6,1,1,0,0,0,0,4,0,168,2,2,0,false
0.9.6,1,1,0,0,0,0,2,0,185,1,1,0,false
0.9.6,12,10,0,0,0,10,7,0,185,1,1,2,false
0.9.0,3,1,0,0,0,1,0,0,0,1,4,0,false
0.9.0,4,1,0,0,0,0,2,2,45,3,8,0,false
0.9.6,3,1,0,0,0,1,0,0,185,1,1,0,false
0.9.6,3,1,0,0,0,1,0,1,185,2,3,0,true
0.9.0,4,3,1,0,0,2,1,0,0,1,8,0,false
0.9.6,3,1,0,0,0,0,0,0,185,2,4,0,false
0.9.0,7,3,2,0,0,2,0,0,0,2,12,0,false
0.9.6,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.0,3,1,0,0,0,0,0,1,45,3,10,0,false
0.9.0,5,2,0,0,0,2,0,3,45,2,4,1,false
0.9.0,3,1,0,0,0,1,0,1,37,3,6,0,false
0.9.6,4,2,1,0,0,1,2,0,168,1,1,0,false
0.9.0,3,1,0,0,0,1,0,0,37,2,4,0,false
0.9.6,7,3,1,0,0,3,0,1,168,1,1,0,false
0.9.6,3,1,0,0,0,1,0,0,94,1,2,0,false
0.9.6,1,1,0,0,0,0,0,0,185,2,5,0,false
0.9.0,9,4,1,0,0,0,0,1,37,2,3,0,false
0.9.6,8,5,1,0,0,4,0,1,168,1,1,0,false
0.9.6,3,1,1,0,0,0,0,0,168,3,3,0,false
0.9.0,3,1,1,0,0,0,1,1,37,2,6,0,false
0.9.0,19,8,7,0,0,0,0,11,37,2,4,1,false
0.9.6,3,1,0,0,0,0,0,0,168,3,5,0,false
0.9.6,3,1,0,0,0,0,0,0,185,2,5,0,false
0.9.6,2,1,0,0,0,0,0,0,185,1,1,0,false
0.9.0,3,2,0,0,0,0,0,1,37,3,9,0,false
0.9.6,5,2,2,0,0,0,0,4,168,1,1,3,false
0.9.0,10,4,4,0,0,2,3,1,45,2,4,0,false
0.9.6,3,1,0,0,0,1,14,0,185,4,19,0,true
0.9.6,3,1,0,0,0,1,1,0,185,3,10,0,false
0.9.0,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.6,9,3,2,0,0,1,0,6,168,3,4,0,false
0.9.0,8,2,0,0,1,2,1,0,45,2,7,2,false
0.9.6,46,19,25,0,0,1,2,12,168,2,7,8,false
0.9.0,4,1,1,1,0,1,1,1,37,2,3,3,false
0.9.6,5,1,1,0,0,1,0,6,168,1,1,0,false
0.9.6,15,2,0,0,0,0,0,0,168,1,1,0,false
0.9.6,9,3,0,0,1,2,0,2,185,1,1,1,false
0.9.0,4,3,0,0,0,2,0,0,45,3,11,0,false
0.9.0,3,2,0,0,0,0,1,1,45,2,6,0,false
0.9.6,3,1,0,0,0,1,0,0,185,3,5,0,false
0.9.6,3,1,0,0,0,1,0,2,185,2,3,0,true
0.9.0,6,2,3,0,0,0,0,2,45,2,6,0,false
0.9.6,3,1,0,0,0,1,0,0,94,2,2,0,false
0.9.0,10,7,3,0,0,4,2,0,45,2,6,1,false
0.9.6,3,1,0,0,0,1,0,0,185,2,4,0,false
0.9.6,2,1,0,0,0,0,0,0,168,2,2,0,false
0.9.6,1,1,0,0,0,0,4,0,168,1,1,0,false
0.9.0,3,1,0,0,0,0,0,3,45,2,7,0,false
0.9.0,3,1,0,0,0,0,0,0,37,2,3,0,false
0.9.6,1,1,0,0,0,0,1,0,168,1,2,0,false
0.9.6,3,1,0,0,0,1,1,1,185,3,10,0,false
0.9.6,10,3,2,0,1,1,0,9,185,2,3,3,true
0.9.0,3,1,0,0,0,1,21,1,0,1,5,0,false
0.9.6,3,1,0,0,0,1,0,0,185,1,1,0,false
0.9.0,5,2,1,0,0,2,0,2,37,2,4,1,false
0.9.0,7,2,0,0,0,0,3,0,45,1,4,0,false
0.9.6,3,3,0,0,0,1,1,0,185,4,19,0,true
