Classifier,feature selection,sampling,cost sensitive,feature selection id,precision,recall,auc,kappa
sgd,false,true,false,,0.3472474289171204,0.6181538461538462,0.7009235351394696,0.3050156113032642
sgd,false,true,false,,0.3960314857330272,0.5822784810126582,0.6919712499842364,0.3246534065558417
sgd,false,true,false,,0.47294117647058825,0.501117606602476,0.6655837882579394,0.32444402820352813
sgd,false,true,false,,0.44504538107671265,0.5568172979699775,0.6635387413750343,0.3017253615480299
sgd,false,true,false,,0.41574448942869996,0.6360195444222696,0.6740186413907358,0.2950564661739885
sgd,false,true,false,,0.5233925703331433,0.5842345728991961,0.6967948127697506,0.3794386249517972
sgd,false,true,false,,0.5696614869921205,0.6222532095975382,0.7197279510964504,0.4273990318496541
rf,false,true,false,,0.6975848792439622,0.4262189905902481,0.7421955145986979,0.4705657519762297
rf,false,true,false,,0.7706057596822244,0.7567040468064359,0.8694584643614314,0.7162867350256281
rf,false,true,false,,0.7630662020905923,0.9433846153846154,0.9748754708834324,0.8108828119023622
rf,false,true,false,,0.7955299029841582,0.780952380952381,0.8998611816244922,0.7413964157178132
rf,false,true,false,,0.785190753617741,0.7183631361760661,0.8951510543839938,0.6786473672290672
rf,false,true,false,,0.8689324030309851,0.9008322314692385,0.9627933264592069,0.8454880474884654
rf,false,true,false,,0.846550016507098,0.8823205560525772,0.9424397186777531,0.8190615385972321
rf,false,true,false,,0.8753843371314886,0.839743219015673,0.9296558953096729,0.8074528702032211
rf,false,true,false,,0.8908265400887422,0.830215896523537,0.9297591974225038,0.8074363745204512
mlp,false,false,false,,0.44556859571023877,0.4709153122326775,0.6530748717601732,0.36231131399312655
mlp,true,false,false,FS_R4_1,0.4367606915377616,0.41060735671514115,0.6500063679452164,0.32834154186440556
mlp,false,false,false,,0.4604324097397145,0.7129855355111328,0.8459434007564348,0.44631110151613884
mlp,false,false,false,,0.36507009345794394,0.8653846153846154,0.8841862473399217,0.3756971204441451
mlp,false,false,false,,0.4578961061486428,0.6365280289330922,0.8465986982322296,0.4066156962776066
mlp,true,false,false,FS_R5_1,0.4345789833154454,0.7238745327482529,0.8573725814701376,0.4214411368245944
mlp,true,false,false,FS_R6_1,0.4906189555125725,0.7804615384615384,0.8674930210118652,0.5075968363677336
mlp,false,false,false,,0.43002077395043237,0.7652166437414031,0.8167818082680005,0.3591699744756194
mlp,true,false,false,FS_R7_1,0.3389164245428132,0.7171790235081374,0.7519023031943872,0.28235605803696867
mlp,true,false,false,FS_R8_1,0.43487592922207097,0.7141506189821183,0.8097676161695135,0.35289828914477356
mlp,false,false,false,,0.3836087711401196,0.9279769775219725,0.8092961816751826,0.2946937068233404
mlp,true,false,false,FS_R9_1,0.4607117144914121,0.6968188535428171,0.8022777296256474,0.3644453146038193
mlp,false,false,false,,0.5848181416580769,0.5466244580551923,0.8134588129575717,0.4311335908964782
mlp,true,false,false,FS_R10_1,0.3702254518352897,0.8204528249948386,0.8031090621915284,0.2625706570344451
mlp,false,false,false,,0.5170160740770433,0.7459371927592389,0.8266455824213186,0.4345045145058576
mlp,true,false,false,FS_R11_1,0.4475409316907876,0.8173037996645653,0.817273862301954,0.36026817871082706
mlp,false,false,false,,0.5859120521172638,0.6919267202000289,0.8289162041307595,0.47547397587363727
mlp,true,false,false,FS_R12_1,0.5451925882696236,0.7187094292446026,0.8270111217568525,0.4425213864687716
