release,method,path,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
4.1.0,readEntryComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,33,9,11,2,1,2,0,1,196,3,6,2,false
4.0.0,readComplete,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,22,2,3,1,0,1,0,6,4,2,5,5,false
4.1.0,getLedgerId,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,1,1,0,0,0,0,0,0,204,2,2,0,false
4.2.0,getActiveLedgers,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,33,14,2,3,0,0,3,1,384,2,9,6,false
4.0.0,run,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,4,1,1,0,0,0,0,6,4,1,3,3,false
4.1.0,ledgerExists,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,3,1,0,0,0,1,0,0,56,2,3,0,false
4.0.0,genDigest,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,6,1,1,0,0,1,4,0,4,2,3,3,false
4.1.0,compare,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,15,4,2,1,1,3,0,0,0,1,1,4,false
4.1.0,getMaxAllowedCmdArgLength,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,3,1,0,0,0,1,0,1,90,1,1,0,false
4.0.0,flushLedger,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,97,24,17,6,2,1,2,10,4,2,6,9,false
4.1.0,getMessage,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,3,1,0,0,0,1,4,0,196,1,1,0,false
4.1.0,getAvailableBookies,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,29,2,1,0,0,0,1,1,268,2,4,2,false
4.1.0,garbageCollectLedgers,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,22,6,2,2,2,0,0,3,204,2,4,2,false
4.1.0,getQueueLength,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,1,1,0,0,0,0,0,0,132,1,1,0,false
4.0.0,decRef,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,3,1,0,0,0,0,1,0,4,2,4,0,false
4.0.0,getChannelForHost,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,3,1,0,0,0,1,0,0,4,2,4,0,false
4.1.0,getStats,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,3,1,0,0,0,1,0,0,196,1,4,0,false
4.2.0,getMessage,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,48,22,0,0,0,22,4,0,412,1,4,1,false
4.1.0,setStatusCode,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,8,2,2,0,0,1,2,0,196,1,1,0,false
4.0.0,onFirstLocalSubscribe,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,50,1,0,0,0,0,0,0,4,1,3,2,false
